aleph system no.,dom id,author (o),author (n),other author (o),other author (n),title,title (n),metadata,edition,imprint (o),p name,p location,p year,type
014602868,lsidyv2eb15659,,,,,manipure tragedy. composed in rhyming form. [electronic resource],manipure tragedy,composed in rhyming form,,"chittagong : jagot chandra das, 1893.",jagot chandra das,chittagong,1893,tragedy
014603036,lsidyv2eb362b1,"ramsdale, a. e.","ramsdale, a. e.",,,"“then,” or, the tragedy of the alsager bazaar. [in verse.] [electronic resource]","“then,” or, the tragedy of the alsager bazaar",[in verse.],,"longton : hughes & harber, [1889.].",hughes & harber,longton,1889,tragedy
014605683,lsidyv32b541d0,,,"colman, george, the elder.","colman, george, the elder","the tailors; a tragedy for warm weather, in three acts. [a burlesque. adapted by george colman, the elder.] [electronic resource]","the tailors; a tragedy for warm weather, in three acts","[a burlesque. adapted by george colman, the elder.]",,"london : t. cadell, 1778.",t. cadell,london,1778,tragedy
014608339,lsidyv3351b2b4,,,"weston, stephen, f.r.s.","weston, stephen","fragment of a tragedy lately acted at the british museum. [a burlesque, by s. weston on the loss of certain prints from mr. cracherode's collection.] [electronic resource]",fragment of a tragedy lately acted at the british museum,"[a burlesque, by s. weston on the loss of certain prints from mr. cracherode's collection.]",,"[london, 1806.]",[ .],london,1806,tragedy
014608380,lsidyv31afc4db,"sotheby, william.","sotheby, william",,,"julian and agnes; or, the monks of the great st. bernard. a tragedy, in five acts [and in verse]. [electronic resource]","julian and agnes; or, the monks of the great st. bernard. a tragedy, in five acts",[and in verse],,"london, 1801.",,london,1801,tragedy
014608406,lsidyv32d477d2,"bateman, james, of nottingham.","bateman, james",,,"bateman's tragedy: or, the perjur'd bride justly rewarded. being the history of the unfortunate love of german's wife and young bateman. [a chap-book, in prose, with the original ballad, entitled “a godly warning to all maidens, etc.”] [electronic resource]","bateman's tragedy: or, the perjur'd bride justly rewarded. being the history of the unfortunate love of german's wife and young bateman","[a chap-book, in prose, with the original ballad, entitled “a godly warning to all maidens, etc.”]",,"london : s. bates, [1720?].",s. bates,london,1720,tragedy
014616610,lsidyv349ce3bb,"catilina, lucius sergius.","catilina, lucius sergius",,,catiline. an historical tragedy in three acts. [in verse.] by the author of the indian merchant. [electronic resource],catiline. an historical tragedy in three acts,[in verse.] by the author of the indian merchant,,"london : moore, 1833.",moore,london,1833,tragedy
014616652,lsidyv349cea47,"davies, blanche.","davies, blanche",,,"octavia; or the bride of st. agnes. a tragedy, in five acts. [in verse.] [electronic resource]","octavia; or the bride of st. agnes. a tragedy, in five acts",[in verse.],,"doncaster : brooke & co.; c. white, 1832.",brooke & co.; c. white,doncaster,1832,tragedy
014616826,lsidyv349d0467,,,,,"james the third, king of scotland. a tragedy, in five acts [and in verse]. by the author of “catherine de medicis.”. [electronic resource]","james the third, king of scotland. a tragedy, in five acts",[and in verse]. by the author of “catherine de medicis.”,,"london, 1820.",,london,1820,tragedy
014616866,lsidyv34943541,"lewes, george henry, 1817-1878.","lewes, george henry",,,"the noble heart: a tragedy, in three acts. [electronic resource]","the noble heart: a tragedy, in three acts",,,"london : chapman & hall, 1850.",chapman & hall,london,1850,tragedy
014616997,lsidyv34620cf1,"powell, thomas, of new york.","powell, thomas",,,the wife's revenge. a tragedy in one act [and in verse]. [electronic resource],the wife's revenge. a tragedy in one act,[and in verse],,"london, 1843.",,london,1843,tragedy
014617100,lsidyv349bf6e7,"sturgis, julian russell.","sturgis, julian russell",,,count julian. a spanish tragedy. [in verse.] [electronic resource],count julian. a spanish tragedy,[in verse.],,"london : john murray, 1893.",john murray,london,1893,tragedy
014617165,lsidyv3498d668,"waller, william, dramatist.","waller, william",,,"mariamme; or, the court of herod the great; a dramatic poem. a tragedy, in five acts. [electronic resource]","mariamme; or, the court of herod the great; a dramatic poem. a tragedy, in five acts",,,"london, 1839.",,london,1839,tragedy
014622731,lsidyv39431071,"barton, john, of topsham.","barton, john",,,"the cruel husband; or, devonshire tragedy, wherein is related the account of mr. j. barton of topsham, etc. [electronic resource]","the cruel husband; or, devonshire tragedy",", wherein is related the account of mr. j. barton of topsham, etc",,"london : j. pitts, [1810?].",j. pitts,london,1810,tragedy
